Date,Strategy_ret,Cumulative_ret,Z-Score,Beta
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,,,,
2022-01-10,,,,
2022-01-11,,,,
2022-01-12,,,,
2022-01-13,,,,
2022-01-14,,,,
2022-01-18,,,,
2022-01-19,,,,
2022-01-20,,,,
2022-01-21,,,,
2022-01-24,,,,
2022-01-25,,,,
2022-01-26,,,,
2022-01-27,,,,
2022-01-28,,,,
2022-01-31,,,,
2022-02-01,,,,
2022-02-02,,,,
2022-02-03,,,,
2022-02-04,,,,
2022-02-07,,,,
2022-02-08,,,,
2022-02-09,,,,
2022-02-10,,,,
2022-02-11,,,,
2022-02-14,,,,
2022-02-15,,,,
2022-02-16,,,,
2022-02-17,,,,
2022-02-18,,,,
2022-02-22,,,,
2022-02-23,,,,
2022-02-24,,,,
2022-02-25,,,,
2022-02-28,,,,
2022-03-01,,,,
2022-03-02,,,,
2022-03-03,,,,
2022-03-04,,,,
2022-03-07,,,,
2022-03-08,,,,
2022-03-09,,,,
2022-03-10,,,,
2022-03-11,,,,
2022-03-14,,,,
2022-03-15,,,,
2022-03-16,,,,
2022-03-17,,,,
2022-03-18,,,,
2022-03-21,,,,
2022-03-22,,,,
2022-03-23,,,,
2022-03-24,,,,
2022-03-25,,,,
2022-03-28,,,,
2022-03-29,,,,
2022-03-30,-0.0,1.0,,0.0210699843653379
2022-03-31,-0.0,1.0,,0.016674537991075856
2022-04-01,-0.0,1.0,,0.013935712027011979
2022-04-04,-0.0,1.0,,0.011067333362501361
2022-04-05,0.0,1.0,,0.008304023173080932
2022-04-06,0.0,1.0,,0.006720084230864717
2022-04-07,0.0,1.0,,0.008403488464545104
2022-04-08,0.0,1.0,,0.01281268796437212
2022-04-11,-0.0,1.0,,0.01597762833002831
2022-04-12,-0.0,1.0,,0.01794780200162263
2022-04-13,-0.0,1.0,,0.0199208386940231
2022-04-14,0.0,1.0,,0.022296227813653452
2022-04-18,-0.0,1.0,,0.024275480064681193
2022-04-19,-0.0,1.0,,0.02649146448203983
2022-04-20,-0.0,1.0,,0.026423531492813335
2022-04-21,-0.0,1.0,,0.02446018163730968
2022-04-22,-0.0,1.0,,0.024387501194596622
2022-04-25,0.0,1.0,,0.02541750599484732
2022-04-26,0.0,1.0,,0.02814058642729703
2022-04-27,0.0,1.0,,0.03200476747428874
2022-04-28,0.0,1.0,,0.03399202205856029
2022-04-29,-0.0,1.0,,0.03610951541288614
2022-05-02,-0.0,1.0,,0.038172601118443894
2022-05-03,0.0,1.0,,0.040271859364426094
2022-05-04,0.0,1.0,,0.04212875223094088
2022-05-05,-0.0,1.0,,0.04444432283167621
2022-05-06,0.0,1.0,,0.04590863831798213
2022-05-09,-0.0,1.0,,0.045946641292509485
2022-05-10,0.0,1.0,,0.04620795140393514
2022-05-11,0.0,1.0,,0.04658693100306882
2022-05-12,0.0,1.0,,0.04573037472928729
2022-05-13,-0.0,1.0,,0.04317859733763553
2022-05-16,0.0,1.0,,0.042045312655143226
2022-05-17,0.0,1.0,,0.03982336442488635
2022-05-18,-0.0,1.0,,0.03682217307027663
2022-05-19,0.0,1.0,,0.02946107371842454
2022-05-20,0.0,1.0,,0.0230507377811099
2022-05-23,0.0,1.0,,0.015933094503324842
2022-05-24,0.0,1.0,,0.01158544742110787
2022-05-25,0.0,1.0,,0.007971380625360291
2022-05-26,0.0,1.0,,0.004865363223667811
2022-05-27,-0.0,1.0,,0.002995796327810798
2022-05-31,-0.0,1.0,,0.001610480155028432
2022-06-01,-0.0,1.0,,0.0005437928884998097
2022-06-02,0.0,1.0,,-0.00017876770086161856
