Pair,Static Beta,Rolling Beta Avg,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Win Rate
PFE-COST,-0.076811030337204,-0.008597413694805241,0.8016034679383861,0.3998805409334094,0.14748700292757133,2.7112934224433647,-0.09685038187837257,0.2636363636363636
HD-KO,0.4136902652255025,2.4522205386516176,2.420532057957097,1.0192792385258778,0.455022741691672,2.2400621884005782,-0.2608812662983967,0.20227272727272727
MS-JNJ,-0.05081770275021788,0.11203278564856421,0.5772750906173187,0.2974480223504532,0.19511934178381532,1.52444150144794,-0.14407713974637226,0.27045454545454545
CVX-TGT,-0.12126585979307611,0.2082783816059148,0.4717500119912421,0.2471111734751812,0.199554503308073,1.2383141917558733,-0.1303671500581852,0.2681818181818182
XOM-TGT,-0.3044885967537146,0.10499125558962522,0.4358285814373031,0.22962564133994934,0.1916854238947149,1.197929590442273,-0.1398693375232744,0.2340909090909091
JNJ-COST,-0.029582111320713943,0.04620249424923009,0.28248342113390446,0.15277317696664627,0.1315082318255308,1.1617004870792211,-0.17265112085766135,0.32272727272727275
IWM-MS,1.2055569823957897,1.414902463757056,0.38854323258188606,0.20631997110010847,0.1788858561797715,1.1533610063210755,-0.1373772581195662,0.225
GOOG-AMZN,0.6718562811919345,0.528593824222432,0.4849438549654246,0.2534875337233178,0.2203604095569534,1.150331560160776,-0.1464799474524243,0.27954545454545454
TSLA-GS,-0.2345178346152388,0.6381508664777622,0.9101675547827315,0.44747897824603844,0.3983143728233869,1.123431662970523,-0.4148540859533796,0.21136363636363636
JNJ-NFLX,-0.028441411498777366,0.00723735635891234,0.21571178897279908,0.1180845457314057,0.12140125023923681,0.9726798158890858,-0.1073812726905175,0.29772727272727273
CVX-PFE,-0.2299098104447542,1.100348361929619,1.1880969593809034,0.56431334439635,0.5838536411370396,0.9665322002571818,-0.4539971115740833,0.27954545454545454
IWM-KO,0.5804895867604494,0.8109971668815927,0.4835024936563235,0.2527921329632101,0.29416497133694425,0.8593549796711023,-0.2342270575145361,0.22954545454545455
UNH-DIS,-0.403885292066852,0.2831928193403039,0.5861787708124517,0.30162815226602335,0.3511425808615886,0.8589905317832058,-0.2561754981455094,0.2431818181818182
MS-CVX,-0.024922549109800234,0.14532635677482322,0.2746672632110154,0.14875327152494533,0.1740168138075745,0.854821257039189,-0.24761890114063392,0.21136363636363636
